"sample_id","stock_code","short_name","field_id","metric_name_cn","dimension","metric_type","candidate_status","value_candidate","unit_raw_candidate","unit_standardized_candidate","evidence_type_candidate","source_page","confidence_rule","precision_gate_status","rule_id","negative_category","severity","suggested_action","reason","evidence_context"
"R001","600000","浦发银行","S_Q_009","因工死亡人数","S","quantitative","candidate_found","0","人","人","native_text","134;132","0.725","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。","经费支出。 雇佣当地高管数量 % / / 100 员工满意度 % 97.4 97.6 98.0 占比 员工变动情况（员 % 5.1 5.1 3.69 工流失率） 员工培训 职业健康安全 女性员工流失率 % "
"R001","600000","浦发银行","S_Q_009","因工死亡人数","S","quantitative","candidate_found","0","人","人","native_text","106;104","0.95","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。","浦东发展银行安全生产管理 公司始终坚持“以人为本”,将保障职工的身体健康和生命安全置于重要位置,切 办法》等 6 项制度,组织签订《员工安全生产管理责任书》《2025 年度安全生产目标管理责任书》,明确各层级、各岗位安全责任边界,规范安全检查、隐患整改和应急处置等 实守护好员工的身心健康与职业安全。 全流程管理。2025"
"R002","600004","白云机场","S_Q_009","因工死亡人数","S","quantitative","candidate_found","0","人","人","native_text","48","0.93","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。",".57 7.41 应急培训次数 次 236 248 268 30-39岁员工流失率 % 3.38 2.42 1.8 安全应急演练参与人次 人次 24480 31910 41120 40-49岁员工流失率 % 3.30 2.1"
"R002","600004","白云机场","S_Q_012","研发人员数量","S","quantitative","candidate_found","393","人","人","native_text","48","0.93","","R_RD_AMOUNT_FOR_RD_HEADCOUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","研发人员数量字段疑似命中研发投入/费用/支出金额。","9岁员工占比 % 25.48 26.00 26.32 社会 50岁以上员工占比 % 15.15 16.17 16.25 发展 研发人员数量 人 140 193 393 研发费用 万元 5032 5322 10245 研究生及以上员工占比 % 3.88 4.09 4.59 新增专利数 项 12 7 16 大学本科员工占比 % "
"R002","600004","白云机场","S_Q_015","客户投诉数量","S","quantitative","candidate_found","10245","件","件","native_text","41","0.93","","R_COMPLAINT_RATE_FOR_COMPLAINT_COUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","客户投诉数量字段疑似命中投诉处理率/回应率/满意度等比例口径。","诉闭环机制,积极解决旅客“急难愁 盼”出行问题 客户权益保障措施 关键绩效 设立旅客权益保护专项小组,负责处理旅客投诉、协调权益纠纷,全年未发生重大旅客权益纠 10245 92.49 纷事件,旅客投诉处理满意度达��.�% 研"
"R003","600006","东风股份","S_Q_005","人均培训时长","S","quantitative","candidate_found","78","小时","小时","native_text","41;79","0.93","","R_TRAINING_INVESTMENT_FOR_TRAINING_HOURS","wrong_metric_or_context","high","flag_only_validate_against_gold","人均培训时长字段疑似命中培训投入/费用，而非小时或人均小时。","38 员工培训投入 余万元,举办 场、参与 人次 98.89 66.7 员工培训覆盖率 %,人均培训时长 小时 东风股份2025届新员工“青风营”培训开营仪式 78 79"
"R004","600008","首创环保","S_Q_005","人均培训时长","S","quantitative","candidate_found","38","小时","小时","native_text","9","0.625","","R_TRAINING_INVESTMENT_FOR_TRAINING_HOURS","wrong_metric_or_context","high","flag_only_validate_against_gold","人均培训时长字段疑似命中培训投入/费用，而非小时或人均小时。","理建议 员工支持 行业创新 开展合规培训活动 覆盖 公司廉洁培训总人数为 人均小时数为 员工培训投入 累计帮助困难员工 累计发放救助金约 目标 70% 20% 38 6,000 1,741 17 场 人次 人 小时 561.94 67 46.50 万元 人 万元 推动技术应用 研究行业痛点 可持续供应链 安全生产 10% "
"R005","600009","上海机场","S_Q_012","研发人员数量","S","quantitative","candidate_found","126","人","人","native_text","65;128;129;130","0.93","","R_RD_AMOUNT_FOR_RD_HEADCOUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","研发人员数量字段疑似命中研发投入/费用/支出金额。"," 万元 9,327.71 安全培训覆盖率 % 100 温室气体减排量 万吨CO2e 1.93 - 研发创新 研发费用 万元 1,827.20 研发人员数量 人 126 绩效指标 单位 数据 有效专利数 件 52 - 员工聘用 软件著作权数量 件 57 员工总人数 人 13,329 - 乡村振兴与公益慈善 专业构成类别 乡村振"
"R006","600010","包钢股份","S_Q_012","研发人员数量","S","quantitative","candidate_found","3182","人","人","native_text","43","0.93","","R_RD_AMOUNT_FOR_RD_HEADCOUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","研发人员数量字段疑似命中研发投入/费用/支出金额。","万元 42,026.04 8,583.63 49,043.59 （光伏发电） 净利润 万元 2,960.42 2,074.89 38,569.82 总用水量 万立方米 295,961.88 285,034.53 261,484.40 研发投入 万元 376,551.82 371,955.43 336,726.04 水资"
"R006","600010","包钢股份","G_Q_002","独立董事人数","G","quantitative","candidate_found","33.33","","人","native_table","44;5","0.885","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","high","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。",",632 1,632 | 1,679 1,679 || table_2_row_9: 公司 治理 | 独立董事比例 | % | 45.45 | 36.36 | 33.33"
