case_id,source,sample_id,stock_code,short_name,field_id,metric_name_cn,candidate_value,candidate_unit,candidate_source_page,value_extraction_method,llm_decision,llm_confidence,negative_category,do_not_write_rule,auto_gate_policy,reason,evidence_snippet,alias_suggestion
NEG0001,deepseek_priority_review_top500,R056,,,S_Q_009,因工死亡人数,3334,,19;34,ocr_local_window_rule,reject,0.0,ocr_noise_or_layout_error,OCR噪声、错列或布局串行导致的数字不得自动写回。,require_ocr_layout_or_vision_fallback,提供的证据文本未提及因工死亡人数，候选值3334无任何文本支持。,", 提升葡萄品质。 产业扶持。 指标与目标 注：公司将影响周期的短期、中期、长期分别定义为1年、1~5年、5年以上；影响程度的大、中、低分别定义为对公司生产经营产生严重影响、适度 影响、轻微影响；发生可能性的高、中、低分别为极有可能发生、较大可能发生、不太可能发生。 公司始终将食品安全置于可持续发展战略的核心,通过建立系统的指标体系持续强化管理并要求各生产厂签署食品 安全目标责任书,明确对食品安全管理、可追溯体系建设、质量管理的考核要求。 食品安全目标达成情况 目标 目标完成情况 出库产品合格率100% 完成 食品安全事故零发生 完成 33 34",
NEG0002,deepseek_priority_review_top500,R154,,,S_Q_001,员工总数,3,,32;58,ocr_local_window_rule,reject,0.0,component_not_total,只披露分项、明细、局部口径时，不能自动当作总量或综合指标写回。,block_auto_sum_and_route_to_deepseek,证据文本中无员工总数3人的记录，仅列出按教育程度和专业类型划分的员工人数明细。,"25年度ESG（环境、社会责任、公司治理）报 告》。为了向您及其他利益相关方提供更有价值的信息,并有效促进公司提升履行企业社会责任的能力与水平, 安全生产事故 起 0 我们真诚期待您的意见和建议。 安全应急演练次数 次 安全运营 选择题（请在相应位置打V） 工伤事故发生率 % 0 1.您对本报告的总体评价是： 工伤事故死亡率 % 0 非常好 口好 口一般 口较差 口差 安全培训覆盖率 % 100 2.报告对利益相关方所关心问题的回应和披露？ 安全培训次数 次 25 非常好 口好 口一般 口较差 口差 按教育程度划分员工人数： 3.您认为北方股份在安全管理方面做得如何？ 博士研究生 人 1 非常好 口好 □一般 口较差 口差 研究生学历 人 114 4.您认为北方股份在环境责任方面做得如何？ 本科学历 人 360 非常好 口好 口一般 口较差 口差 专科学历 人 263 5.您认为北方股份在经济责任方面做得如何？ 专科学历及以下 人 143 非常好 口好 口一般 口较差 口差 员工结构 按专业类型划分员工人数： 6.您认为北方股份在员工责任方面做得如何？ 生产人员 人 516 非常好 口好 口一般 口较差 口差 销售人员 人",
NEG0003,deepseek_priority_review_top500,R078,,,S_Q_007,员工流失率,2016411,,61;103,ocr_local_window_rule,reject,0.0,ocr_noise_or_layout_error,OCR噪声、错列或布局串行导致的数字不得自动写回。,require_ocr_layout_or_vision_fallback,候选值2016411明显不是员工流失率百分比，证据中仅提及GRI 401-1指标名称，未披露具体流失率数值。,016 407-1 结社自由与集体谈判权利可能面临风险的运营点和供应商 / 306-5 进入处置的废弃物 践行绿色运营理念 童工2016 408-1 具有重大童工事件风险的运营点和供应商 无此类运营点 供应商环境评估 308-1 使用环境评价维度筛选的新供应商 强迫或强制 劳动2016 409-1 具有强迫或强制劳动事件重大风险的运营点和供应商 无此类运营点 2016 308-2 供应链的负面环境影响以及采取的行动 安保实践2016 410-1 接受过在人权政策或程序方面培训的安保人员 401-1 新进员工雇佣率和员工流动率 原住民权利2016411-1 涉及侵犯原住民权利的事件 未发生相关事件 雇佣2016 401-2 提供给全职员工（不包括临时或兼职员工）的福利 携手员工发展 413-1 有当地社区参与、影响评估和发展计划的运营点 无相关运营点 当地社区2016 401-3 育儿假 携手员工发展 413-2 对当地社区有实际或潜在重大负面影响的运营点 无相关运营点 劳资关系2016 402-1 有关运营变更的最短通知期 供应商社会评估 414-1 使用社会评价维度筛选的新供应商 2016 403-1 职业健康安全管理体系,
NEG0004,deepseek_priority_review_top500,R062,,,S_Q_006,员工培训覆盖率,4,%,32;58,text_rule,reject,0.0,candidate_not_supported,证据文本未直接支持候选值，禁止写回；只能保留为no_candidate或继续召回。,auto_reject_candidate,证据文本未提供员工培训覆盖率数据，候选值4%无支持。,"上海开创国际海洋资源股份有限公司 2025 ESG SKMIC Shanghai Kai Chuang Marine International Co.,Ltd. 可持续发展报告 附录 附录 议题类别 指标 披露位置 页码 资源管理体系和规划 计划未来披露 关键绩效 水资源目标和规划 计划未来披露 E3资源 节约用水举措 推行绿色运营,发展循环经济 序号 指标 单位 2023年 2024年 2025年 年度用水总量 推行绿色运营,发展循环经济 1 资产总额 亿元 34.03 33.49 34.31 其他资源使用管理 推行绿色运营,发展循环经济 2 营业收入 亿元 20.15 23.16 23.37 废水管理目标和规划 计划未来披露 3 利润总额 亿元 1.67 0.79 0.81 减少废水排放举措 科技驱动创新,助力绿色发展 4 资产负债率 % 32.58% 32.31% 31.54% 废水循环使用量 计划未来披露 5 报告期末在职员工总数 人 1144 1058 1077 废水污染物排放量 计划未来披露 6 研发投入金额 万元 48.00 122.80 413.85 废气管理目标和规划 计划未来披露 7 研发投入占营业收入",
NEG0005,deepseek_priority_review_top500,R166,,,S_Q_007,员工流失率,1,,69;134,text_rule,reject,0.0,index_reference_only,仅出现GRI/指标索引/披露位置/指标名称，不能视为该指标已披露具体值。,auto_reject_candidate,证据中仅提及GRI 401-1员工流动率指标及披露位置，未提供具体流失率数值，候选值1无支持。,08-1使用环境评价维度筛选的新供应商 P79-81、P124 302-2组织外部的能源消耗量 附录1：ESG关键绩效指标表 P126 效指标表 302-3能源强度 能源利用、附录1：ESG关键绩效指标表 P60、P126 供应链安全和管理、附录1：ESG关键绩 308-2供应链的负面环境影响以及采取的行动 P80、P124 效指标表 302-4降低能源消耗量 能源利用 P56-60 GRI 401: 雇佣 2016 302-5降低产品和服务的能源需求量 绿色产品、能源利用 P53-60 401-1新进员工雇佣率和员工流动率 附录1：ESG关键绩效指标表 P119-120 GRI 303: 水资源和污水 2018 303-1组织与水作为共有资源的相互影响 水资源利用 P61-63 401-2提供给全职员工（不包括临时或兼职员工）的福利 员工 P95-96 303-2管理与排水相关的影响 污染物排放 P37-39 401-3育儿假 员工 P95 水资源利用、附录1：ESG关键绩效 GRI 403: 职业健康与安全 2018 303-3取水 P62、P129 指标表 403-1职业健康安全管理体系 员工 P104-105 303,
NEG0006,deepseek_priority_review_top500,R090,,,E_Q_007,外购电力消耗量,1,千瓦时,25,text_rule,reject,1.0,candidate_not_supported,证据文本未直接支持候选值，禁止写回；只能保留为no_candidate或继续召回。,auto_reject_candidate,证据文本仅提及耗电量转化计算标准煤的公式，未披露具体外购电力消耗量数值，无法支持候选值“1”千瓦时。,"2.公司购入的水资源消费所对应的生产、处理和输送等 环节产生的二氧化碳排放量计算公式为“水的碳排放量=总 耗水量 x 水的碳排放因子”,碳排放因子参考取值为 0.09kgCO /m3/t（公斤·二氧化碳/立方米/吨）； 2 3.公司购入的天然气消费所对应的生产、处理和输送等 环节产生的二氧化碳排放量计算公式为“天然气的碳排放总 量=总耗天然气量 x 天然气的碳排放因子”,碳排放因子参考 取值为 2.16kgCO /m3（公斤·二氧化碳/立方米）； 2 4.“每亿元营业收入耗费标准煤”由公司间接购买年度 耗电量转化计算,其公式为“生产 1 千瓦时电力耗费标准煤 3.6÷29.27=0.123kg（千克）x 总耗电量 kWh（千瓦时）x0.001/ 综合营收（亿元）； 5.上表“环境绩效”范畴中涉及的“温室气体排放”“能 源消耗”数据,以公司主要业务板块年度使用量转化计算。 九、可持续议题索引表 上海证券交易所上市公司自律监管指引第14 号——可持续发展报告（试行） 可持续议题索引 维度 序号 议题 对应条款 页码 第二十一条 1 应对气候变化 至第二十八条 环境 第十三页至第十六页 2 污染物排放 第三十条 3 废",
NEG0007,deepseek_priority_review_top500,R110,,,E_Q_001,温室气体排放总量,146.45,tCO2e,23,text_rule,reject,1.0,project_or_case_value_not_company_total,项目、案例、减排成效或绿色项目数值不能等同公司报告期总量。,auto_reject_or_require_company_total_evidence,"证据显示温室气体排放总量为31,182.40 tCO2e，而非候选值146.45 tCO2e；146.45 tCO2e为特定案例的年减少二氧化碳排放量，口径不符。","现企业的节能降碳责任担当。 温室气体排放绩效 嵊州毛纺自动络筒机负压系统改造。对原有满频负压系统采用PID控制, 指标 2025年 单位 避免高转矩频繁启动。延长电机使用寿命的同时,年节约电耗约11.8万度, 417.46 范围一：温室气体排放量 tCO2e 年减少二氧化碳排放约62.1tCO2e 。 30,764.93 中水回用高压泵采用恒压闭环控制改造。在原有的高压管道上安装实时 范围二：温室气体排放量 tCO2e 压力检测装置,将信号反馈到控制器,经过信号放大后控制主泵控制器, 31,182.40 低碳工艺 温室气体排放总量 tCO2e 主泵控制器再通过处理后的数字信号精确驱动交流服务器,运行更平 节能 2.69 稳,噪声更低,实现年节约电耗约27.6万度,年减少二氧化碳排放量约 温室气体排放强度 tCO2e/百万营收 146.45 tCO2e 。 统计范围：服装制造、嵊州毛纺；本年度统计范围较往年扩大,故总量相应增加。 注：公司收集外购电力和外购热力消耗量,针对范围二温室气体进行估算。温室气体排放量的计算参照中国发展和改革委员会发 布的《温室气体排放核算与报告要求第12 部分：纺织服装企业》；其中,外购电力所产生电力",
NEG0008,deepseek_priority_review_top500,R004,,,G_Q_002,独立董事人数,3.1,人,60,text_rule,reject,1.0,candidate_not_supported,证据文本未直接支持候选值，禁止写回；只能保留为no_candidate或继续召回。,auto_reject_candidate,证据文本未提供独立董事具体人数，仅出现“3.1 健全治理机制”的章节编号，无法支持候选值3.1人。,"理情况。 2.5 促进社会共荣 / 《城市污水处理设施向公众开放工作指南（修订版）》 废弃物 有害和无害废弃物的总量及密度、处理方法与处置情况, 第三十一条 1.3 绿色低碳运营 处理 以及废弃物减排目标和采取的具体措施。 治理篇：完善现代治理,保障永续经营 《中华人民共和国证券法》《上海 在生态保护红线范围内退出生产经营活动、保护和恢复 《公司章程》《股东会议事规则》《董事及高级管理人员持 生态系统 证券交易所股票上市规则》《上市 生态环境、保护野生动植物及栖息地、可持续利用生物 3.1 健全治理机制 股管理》《独立董事工作细则》《关联交易管理》《投资者 和生物多 第三十二条 1.5 构建生态屏障 公司治理准则》《上市公司投资者 遗传资源,并降低产品生命周期对生态系统的影响,同 关系管理工作指引》 关系管理办法》《市值管理办法》《信息披露管理制度》 环境 样性保护 时披露相关措施及成效。 《中国共产党纪律处分条例》《中 《党风廉政建设和反腐败工作协调小组工作规则》 《纪委 国共产党廉洁自律准则》《中国共 环境事件的风险评估、预防措施和应急预案,报告期内 工作细则》《监督工作管理办法》《党风廉政意见回复工作 环境合规 3.2",
NEG0009,deepseek_priority_review_top500,R109,,,E_Q_017,绿色金融或绿色业务规模,988,万元,35;64,text_rule,modify,0.9,correctable_but_not_negative,证据支持但需修正值或单位，应进入modify流程，不纳入硬负样本。,allow_modify_only_when_confident,证据中“投入光伏建设成本988万元”是单项项目投资额，并非公司总体的绿色金融或绿色业务规模，口径可能不符，建议修正为needs_review，但严格根据证据数值给出modify。,"迹方面的竞争 技术能力 并投入约 1,000 万元用于相关设备 变化,了解市场需求,增加业务收入 O3 ◎通过研发和创新开发新型产品或服务 力 和 , 效 可 益 以 , 带 同 来 时 额 更 外 好 收 地 入 适 险对公司存在财务影响。该两项风险主要体现在行 设施改造与技术验证, 机遇 增强竞争力、增加新的增长点 应客户偏好转 变的市 业低碳技术迭代加快,若技术储备或改造进度滞 以提升低碳技术适应能力； ◎在可再生能源、碳抵消项目等领域进行 场趋势 后,可能对公司产生一定财务影响,此外,原材料 投资,以及参与绿色金融、发行绿色债 投入光伏建设成本988万元, 券等,可能带来新的业务及收入增长点 和能源价格上涨,公司应投入资源用于能源转型, 以应对能源转型需要。 以保障生产运行的成本稳定。 ◎符合绿色标准的供应商获 ◎把握并利用好政府出台的激励 ◎下游绿色建筑、新能源 ◎优化绿色供应链管理,优 上述事项未对公司当期经营及财务状况 得更多市场机会,从源头 性政策,如低碳、节能、减排 市场快速增长,带动对 选低碳合规供应商 O4 提升供应链绿色水平 技术转型,争取政府补贴 玻纤产品的需求 ◎加强绿色采购协同,提升 产生重大不",
NEG0010,deepseek_priority_review_top500,R138,,,E_Q_017,绿色金融或绿色业务规模,1,元,16;28,text_rule,reject,0.0,candidate_not_supported,证据文本未直接支持候选值，禁止写回；只能保留为no_candidate或继续召回。,auto_reject_candidate,证据文本中未出现绿色金融或绿色业务规模相关数值，无法支持候选值'1元'。,"年数值 市场机遇 通过高效治理与减污降碳,降低设施运行费用,并在交易中获得额外 源头控制 通过清污分流、雨污分流、污污分治,减少废水产生总量。 收益。 废水排放总量 » 机遇分析 资源效率提升 污染物减量化、再利用、再循环降低处置成本。 过程控制 采取新工艺和新技术,提高效率,减少排放。 1,735,265 » 吨 政策机遇 环保政策催生治理市场需求,可能获得低成本专项减排支持资金。 公司主要排污口为所属聚海分公司废水总排口1个、元 » 生分公司废水总排口1个,污水排口均安装在线监测设 融资机遇 优秀环境绩效可满足绿色金融标准,获得低成本融资与产品服务优势。 排放控制 备,实时监控流量、COD、氨氮、总氮、PH 值等数据, 并定期委托具有相关资质第三方进行监测,确保达标排 公司及其子公司,高度重视环境保护工作,积极推行清洁生产、实现源头控制,污染治理设施正常运行,使污染物得 放。 到全面治理；坚持依法持证排污,加强环境监管,确保外排污染物稳定达标排放。 废气 沧州大化严格落实中国中化《2025年大气污染防治攻坚行动实施方案》要求,聚焦VOCs综合治理、异味排查整治等 重点任务,严格执行LDAR管理规范,对储罐、生产工艺废气输",
