field_id,metric_name_cn,minimum_acceptance,positive_evidence_cues,reject_if_only,evidence_scope_required,ambiguous_policy,framework_anchor,rating_agency_reference,source_keys,source_urls,rule_version
E_T_001,气候变化战略,披露气候、低碳、双碳或绿色转型战略，并至少说明业务相关方向、路径、目标、治理安排或重点行动之一。,气候战略;低碳转型;双碳战略;净零路线图;绿色转型;气候相关战略,仅有节能减排口号、单个环保项目、绿色办公倡议，未上升到公司战略或业务转型层面。,company_or_group_strategy,needs_discussion,IFRS S2;TCFD;S&P CSA Climate Strategy,评级/CSA通常看公司层面的气候战略、治理、风险与目标，而非孤立项目。,sp_csa;ifrs_s2;tcfd;msci_methodology,https://portal.s1.spglobal.com/survey/documents/CSA_Methodology%20Handbook_ICS.pdf;https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/;https://www.fsb-tcfd.org/recommendations/;https://www.msci.com/documents/1296102/34424357/MSCI%2BESG%2BRatings%2BMethodology.pdf,qualitative_disclosure_sufficiency_v1.0
E_T_002,碳中和或减排目标,明确披露碳达峰、碳中和、减排或能耗/排放强度目标，最好包含目标年份、范围或量化口径。,碳中和目标;碳达峰目标;减排目标;净零;排放强度下降,仅称将持续降碳、节能减排，但没有目标方向、时间、范围或可验证口径。,company_or_group_target,needs_discussion,IFRS S2;TCFD;GRI 305,评级一般区分是否有目标、目标覆盖范围和可衡量性。,ifrs_s2;tcfd;gri_standards,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/;https://www.fsb-tcfd.org/recommendations/;https://www.globalreporting.org/standards/,qualitative_disclosure_sufficiency_v1.0
E_T_003,气候风险管理,披露气候相关物理风险、转型风险或气候机遇的识别、评估、监测、应对，或说明其纳入企业风险管理。,气候风险;物理风险;转型风险;气候情景分析;气候风险识别;气候风险管理,只披露环境风险、安全生产风险、经营风险或合规风险，未明确指向气候相关风险。,climate_specific_risk_process,needs_discussion,IFRS S2;TCFD Risk Management,气候风险管理需要能看出识别/评估/管理流程，不能由泛风险管理直接替代。,ifrs_s2;tcfd;sp_csa,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/;https://www.fsb-tcfd.org/recommendations/;https://portal.s1.spglobal.com/survey/documents/CSA_Methodology%20Handbook_ICS.pdf,qualitative_disclosure_sufficiency_v1.0
E_T_005,环境管理体系,披露环境管理制度、职责、组织、流程、合规检查、ISO 14001或等同环境管理体系。,环境管理体系;ISO14001;环境管理制度;环保责任制;环境合规;环境管理组织,仅有职业健康安全体系、安全生产责任制或单个污染治理措施，未覆盖环境管理体系。,environmental_management_system,needs_discussion,ISO 14001;GRI;S&P CSA Environmental Policy & Management Systems,评级/CSA偏好制度化、公司层级、可审计的环境管理证据。,iso_14001;sp_csa;gri_standards,https://www.iso.org/standard/60857.html;https://portal.s1.spglobal.com/survey/documents/CSA_Methodology%20Handbook_ICS.pdf;https://www.globalreporting.org/standards/,qualitative_disclosure_sufficiency_v1.0
E_T_009,污染防治措施,披露废气、废水、固废、危废、噪声、化学品或排放达标方面的治理措施、设施或管理流程。,污染防治;废气治理;废水治理;固废治理;危废管理;排放达标;环保设施,只披露碳减排、绿色办公、环保理念，未涉及污染物治理或排放控制。,pollution_control_action_or_system,needs_discussion,HKEX ESG A1;GRI 306;S&P CSA Waste & Pollutants,污染防治关注具体污染源、控制措施和合规结果。,hkex_esg;gri_standards;sp_csa,https://www.hkex.com.hk/Listing/Rules-and-Guidance/Environmental-Social-and-Governance/ESG-Reporting-Guide-and-FAQs;https://www.globalreporting.org/standards/;https://portal.s1.spglobal.com/survey/documents/CSA_Methodology%20Handbook_ICS.pdf,qualitative_disclosure_sufficiency_v1.0
S_T_001,员工权益保护政策,披露劳动合同、薪酬福利、平等雇佣、员工关怀、申诉、工会或员工权益保护制度。,员工权益;劳动权益;平等雇佣;薪酬福利;员工关怀;申诉机制,仅披露培训活动、团建活动或员工人数，未体现权益保护政策或机制。,employee_rights_policy_or_process,needs_discussion,GRI 401;HKEX ESG B1,社会维度通常关注制度覆盖和执行机制，而不只看福利活动。,gri_standards;hkex_esg,https://www.globalreporting.org/standards/;https://www.hkex.com.hk/Listing/Rules-and-Guidance/Environmental-Social-and-Governance/ESG-Reporting-Guide-and-FAQs,qualitative_disclosure_sufficiency_v1.0
S_T_002,职业健康安全管理体系,披露职业健康安全或安全生产管理体系、职责、风险辨识、培训、应急、ISO 45001或类似机制。,职业健康安全;安全生产管理体系;ISO45001;隐患排查;应急管理;安全培训,只有工伤人数、死亡人数或一次安全活动，未说明安全管理体系。,occupational_health_safety_system,needs_discussion,GRI 403;HKEX ESG B2,职业健康安全管理需体现风险识别、责任和控制闭环。,gri_standards;hkex_esg,https://www.globalreporting.org/standards/;https://www.hkex.com.hk/Listing/Rules-and-Guidance/Environmental-Social-and-Governance/ESG-Reporting-Guide-and-FAQs,qualitative_disclosure_sufficiency_v1.0
S_T_005,产品质量与安全管理,披露产品/服务质量管理体系、安全管理、认证、质量控制、召回、客户健康安全或缺陷处理机制。,产品质量;质量管理体系;产品安全;客户健康安全;质量认证;召回管理,只出现品牌质量口号、客户服务承诺或满意度结果，未说明质量/安全管理机制。,product_quality_safety_management,needs_discussion,GRI 416;HKEX ESG B6;S&P CSA Product Quality & Safety,评级更重视质量/安全风险的管理过程和责任，而不只是宣传性措辞。,gri_standards;hkex_esg;sp_csa,https://www.globalreporting.org/standards/;https://www.hkex.com.hk/Listing/Rules-and-Guidance/Environmental-Social-and-Governance/ESG-Reporting-Guide-and-FAQs;https://portal.s1.spglobal.com/survey/documents/CSA_Methodology%20Handbook_ICS.pdf,qualitative_disclosure_sufficiency_v1.0
S_T_006,客户隐私与数据安全管理,披露客户隐私、个人信息保护、数据安全、网络安全或信息安全管理制度、控制措施或认证。,客户隐私;个人信息保护;数据安全;信息安全;网络安全;ISO27001,只披露数字化建设、IT系统升级或客户服务平台，未涉及隐私/数据安全控制。,privacy_or_data_security_controls,needs_discussion,GRI 418;上交所/深交所可持续发展报告指引,数据安全类指标关注管理控制和事件风险，不把普通数字化项目等同披露。,gri_standards,https://www.globalreporting.org/standards/,qualitative_disclosure_sufficiency_v1.0
S_T_007,供应商ESG管理机制,披露供应商准入、评估、审核、培训、责任采购或环境/社会/合规要求。,供应商ESG;供应商审核;责任采购;供应链ESG;供应商准入;供应商培训,仅披露采购金额、供应商数量或一般供应链协同，未体现ESG管理要求。,supplier_esg_management_process,needs_discussion,GRI 308;GRI 414;HKEX ESG B5,供应链管理需区分商业采购管理与ESG尽责/审核机制。,gri_standards;hkex_esg,https://www.globalreporting.org/standards/;https://www.hkex.com.hk/Listing/Rules-and-Guidance/Environmental-Social-and-Governance/ESG-Reporting-Guide-and-FAQs,qualitative_disclosure_sufficiency_v1.0
