field_id,dimension,subtopic_cn,metric_name_cn,metric_name_en,metric_type,value_type,definition,unit_normalized,units_accepted_raw,valid_range,aliases_cn,aliases_en,expected_evidence_type,materiality_default,standard_anchor,rating_logic_reference,extraction_priority,status_values,annotation_note,extractor_version,schema_version,rating_polarity,scoring_role,materiality_weight_default,applicability_rule,disclosure_gap_policy,scope_priority,evidence_priority,review_risk_level,normalization_hint,indicator_layer,primary_indicator_id,rating_role,applicable_industries,materiality_model,alternative_status_policy,scoring_denominator_policy,extraction_group,financial_rating_reference,v03_change_note
E_Q_001,E,气候与排放,温室气体排放总量,Total GHG emissions,quantitative,number,报告期内企业披露的温室气体排放总量。,tCO2e,吨二氧化碳当量;tCO2e;万吨二氧化碳当量;ktCO2e,>=0,温室气体排放总量;碳排放总量;总碳排放;GHG排放总量,total GHG emissions;total carbon emissions,native_table;mixed,高,上交所/深交所可持续发展报告指引;IFRS S2;GRI 305;GHG Protocol,评级通常关注排放暴露、管理与趋势，不复制专有权重。,P0,disclosed;not_disclosed;not_found;not_applicable,优先取报告期合计值，注意万吨与吨换算。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,3,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,not_disclosed_requires_review; score_transparency_penalty_if_applicable,公司法人边界/合并范围总量 > 范围一+范围二合计 > 运营边界总量 > 园区/项目/案例值,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,high,可按营业收入、员工数或产量做行业内强度标准化；抽取层先保留原始总量。,core,,exposure,全行业；能源、公用事业、工业、交通、原材料为高实质性,cross_industry_core,"primary_indicator; if missing, check explicit not_disclosed and alternative indicators",include_when_applicable,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_002,E,气候与排放,范围一温室气体排放,Scope 1 GHG emissions,quantitative,number,直接温室气体排放。,tCO2e,吨二氧化碳当量;tCO2e;万吨二氧化碳当量,>=0,范围一排放;直接排放;范畴一;Scope 1,Scope 1 emissions;direct GHG emissions,native_table;mixed,高,IFRS S2;GRI 305;GHG Protocol,用于评估直接运营排放暴露。,P0,disclosed;not_disclosed;not_found;not_applicable,不要把范围一、范围二合计误标为范围一。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,3,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,not_disclosed_requires_review; score_transparency_penalty_if_applicable,公司范围一总量 > 主要排放设施总量 > 单一厂区/项目值,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,medium,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,component,E_Q_001,exposure,全行业；直接运营排放较高行业优先,cross_industry_core,component_of:E_Q_001; can support or derive primary value when formula is valid,include_when_applicable,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_003,E,气候与排放,范围二温室气体排放,Scope 2 GHG emissions,quantitative,number,能源外购产生的间接温室气体排放。,tCO2e,吨二氧化碳当量;tCO2e;万吨二氧化碳当量,>=0,范围二排放;间接排放;范畴二;Scope 2,Scope 2 emissions;energy indirect emissions,native_table;mixed,高,IFRS S2;GRI 305;GHG Protocol,用于评估电力和外购能源相关排放暴露。,P0,disclosed;not_disclosed;not_found;not_applicable,区分基于市场法和基于地点法的口径。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,3,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,not_disclosed_requires_review; score_transparency_penalty_if_applicable,公司范围二总量 > 外购电力对应排放 > 单一厂区/项目值,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,medium,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,component,E_Q_001,exposure,全行业；外购电力密集企业优先,cross_industry_core,component_of:E_Q_001; can support or derive primary value when formula is valid,include_when_applicable,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_004,E,气候与排放,范围三温室气体排放,Scope 3 GHG emissions,quantitative,number,价值链其他间接温室气体排放。,tCO2e,吨二氧化碳当量;tCO2e;万吨二氧化碳当量,>=0,范围三排放;价值链排放;范畴三;Scope 3,Scope 3 emissions;value chain emissions,native_table;text,中,IFRS S2;GRI 305;GHG Protocol,供应链和产品使用阶段排放对部分行业更重要。,P1,disclosed;not_disclosed;not_found;not_applicable,若只披露部分范围三类别，应记录source_text说明。,indicator_schema_v0.1,v0.3,higher_is_better,absolute_performance,2,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,optional_or_industry_specific; do_not_penalize_without_applicability_evidence,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,low,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,alternative,E_Q_001,exposure,供应链或产品使用阶段排放显著行业优先,common_optional,"alternative_to:E_Q_001; record as alternative_disclosed, do not overwrite primary indicator",exclude_from_primary_denominator; count in alternative_disclosure_coverage,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_005,E,气候与排放,温室气体排放强度,GHG emissions intensity,quantitative,number,单位营收、产量、面积或其他业务量对应的温室气体排放。,tCO2e/unit,吨/万元;tCO2e/RMB;tCO2e per revenue;tCO2e/平方米;tCO2e/产品,>=0,碳排放强度;温室气体排放密度;排放强度,GHG intensity;carbon intensity,native_table;text,高,IFRS S2;GRI 305,强度指标常用于不同行业规模差异下的趋势比较。,P0,disclosed;not_disclosed;not_found;not_applicable,必须保留原始分母单位，避免不同强度口径混比。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,3,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,not_disclosed_requires_review; score_transparency_penalty_if_applicable,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,high,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,alternative,E_Q_001,exposure,全行业；按行业实质性调整权重,cross_industry_core,"alternative_to:E_Q_001; record as alternative_disclosed, do not overwrite primary indicator",exclude_from_primary_denominator; count in alternative_disclosure_coverage,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_006,E,能源,综合能源消耗量,Total energy consumption,quantitative,number,报告期内企业综合能源消耗。,MWh,MWh;kWh;GJ;吨标准煤;tce;万吨标准煤,>=0,综合能源消耗;能源消耗总量;总能耗,total energy consumption;energy consumed,native_table;mixed,高,上交所/深交所可持续发展报告指引;GRI 302,能源使用是环境管理和减排路径的基础暴露指标。,P0,disclosed;not_disclosed;not_found;not_applicable,允许先保留原单位，后续统一换算。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,3,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,not_disclosed_requires_review; score_transparency_penalty_if_applicable,公司能源总消耗量 > 综合能耗/能耗总量 > 总部/园区/数据中心能耗 > 单项能源,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,high,可按营业收入、员工数或产量做行业内强度标准化；抽取层先保留原始总量。,core,,exposure,全行业；能源密集行业为高实质性,cross_industry_core,"primary_indicator; if missing, check explicit not_disclosed and alternative indicators",include_when_applicable,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_007,E,能源,外购电力消耗量,Purchased electricity consumption,quantitative,number,报告期内外购或消耗电力总量。,kWh,千瓦时;kWh;万千瓦时;MWh;兆瓦时,>=0,用电量;耗电量;外购电量;电力消耗,electricity consumption;purchased electricity,native_table;mixed,中,GRI 302;GHG Protocol,关联范围二排放与能源管理。,P0,disclosed;not_disclosed;not_found;not_applicable,注意万千瓦时和千瓦时换算。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,2,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,not_disclosed_requires_review; score_transparency_penalty_if_applicable,公司用电总量/外购电力消耗量 > 办公用电总量 > 园区/项目用电 > 节电量,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,high,可按营业收入、员工数或产量做行业内强度标准化；抽取层先保留原始总量。,component,E_Q_006,performance,全行业；数据中心、机场、交通、制造业优先,cross_industry_core,component_of:E_Q_006; can support or derive primary value when formula is valid,include_when_applicable,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_008,E,能源,可再生能源使用比例,Renewable energy share,quantitative,percentage,可再生能源占总能源使用的比例。,%,%;百分比;比例,0-100,可再生能源占比;绿电比例;清洁能源占比,renewable energy share;renewable electricity share,native_table;text,中,GRI 302;IFRS S2,反映能源结构转型程度。,P1,disclosed;not_disclosed;not_found;not_applicable,若仅披露绿电采购量而非比例，状态不应强行转为比例。,indicator_schema_v0.1,v0.3,lower_is_better,ratio_performance,2,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,optional_or_industry_specific; do_not_penalize_without_applicability_evidence,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,low,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,alternative,E_Q_006,performance,全行业可披露；高耗能企业优先,common_optional,"alternative_to:E_Q_006; record as alternative_disclosed, do not overwrite primary indicator",exclude_from_primary_denominator; count in alternative_disclosure_coverage,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_009,E,水资源,取水量,Water withdrawal,quantitative,number,报告期内从各来源取用水总量。,m3,吨;立方米;m3;万吨;万立方米,>=0,取水量;用水量;总用水量;新鲜水用量,water withdrawal;water consumption,native_table;mixed,高,上交所/深交所可持续发展报告指引;GRI 303,水资源对制造、能源、材料行业具有较高重要性。,P0,disclosed;not_disclosed;not_found;not_applicable,有些报告把吨水近似为立方米，需记录原单位。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,3,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,not_disclosed_requires_review; score_transparency_penalty_if_applicable,公司取水/用水总量 > 办公用水消耗量 > 单一水源/项目用水,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,high,可按营业收入、员工数或产量做行业内强度标准化；抽取层先保留原始总量。,core,,exposure,全行业；按行业实质性调整权重,cross_industry_core,"primary_indicator; if missing, check explicit not_disclosed and alternative indicators",include_when_applicable,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_010,E,水资源,循环用水量,Water recycled/reused,quantitative,number,报告期内循环、回收或重复利用水量。,m3,吨;立方米;m3;万吨;万立方米,>=0,循环用水;回用水;中水回用;重复用水,water recycled;water reused,native_table;text,中,GRI 303,反映资源利用效率。,P1,disclosed;not_disclosed;not_found;not_applicable,若披露循环用水率，应记录为比例类证据。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,2,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,optional_or_industry_specific; do_not_penalize_without_applicability_evidence,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,low,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,alternative,E_Q_009,performance,全行业；按行业实质性调整权重,common_optional,"alternative_to:E_Q_009; record as alternative_disclosed, do not overwrite primary indicator",exclude_from_primary_denominator; count in alternative_disclosure_coverage,environment_operations,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
